수치지도 지형지물 표준코드(안),,,,,,,,,,,,,,,
No,대분류,중분류,소분류(지형지물명),통합코드,수치지도 1.0,,,,,,,,,수치지도 2.0,비고
,,,,,"1:5,000",,,"1:2,500",,,"1:1,000",,,,
,,,,,구조,표현,색상,구조,표현,색상,구조,표현,색상,구조,
244,,,콘크리트돌담,B0024121,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
245,,,판자담,B0024122,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
246,,,생울타리,B0024123,선,,"R/G/B
0/255/0",선,,"R/G/B
0/255/0",선,,"R/G/B
0/255/0",,
247,,,흙담,B0024124,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
248,,,철조망,B0024125,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
249,,,철책,B0024126,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
250,,,문주,B0024127,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
251,시설,댐,댐(미분류),C0010000,,,,,,,,,,면,
252,,,댐 (상단),C0012216,선,,"R/G/B
255/0/0",면,,"R/G/B
255/0/0",면,,"R/G/B
255/0/0",,
253,,,댐 (하단),C0012217,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
254,,부두,기중기,C0025336,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,
255,,선착장,선착장,C0032254,면,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",면,
256,,선거,선거,C0040000,,,,,,,,,,면,
257,,제방,제방(미분류),C0050000,,,,,,,,,,선,
258,,,(제방)미분류,C0052210,선,,,선,,,선,,,,
259,,,콘크리트제방(상단),C0052211,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
260,,,콘크리트제방(하단),C0052212,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
261,,,흙제방(상단),C0052213,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
262,,,흙제방(하단),C0052214,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
263,,,기호제방,C0052215,선,,"R/G/B
165/82/0",,,,,,,,
264,,,(방조제)미분류,C0052220,선,,,,,,,,,,
265,,,콘크리트방조제(상단),C0052221,선,,"R/G/B
255/0/0",,,,,,,,
266,,,콘크리트방조제(하단),C0052222,선,,"R/G/B
255/0/0",,,,,,,,
267,,,흙방조제(상단),C0052223,선,,"R/G/B
255/0/0",,,,,,,,
268,,,흙방조제(하단),C0052224,선,,"R/G/B
255/0/0",,,,,,,,
269,,,기호방조제,C0052225,선,,"R/G/B
255/0/0",,,,,,,,
270,,,(방파제)미분류,C0052230,선,,,,,,,,,,
271,,,방파제 (상단),C0052231,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
272,,,방파제 (하단),C0052232,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
273,,,소파블럭,C0052233,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
274,,,기호방파제,C0052234,선,,"R/G/B
0/0/0",,,,,,,,
275,,수문,수문(미분류),C0060000,,,,,,,,,,선,
276,,,(수문)미분류,C0062240,점,,,,,,,,,,
277,,,수문,C0062241,점,,"R/G/B
0/0/255",면,,"R/G/B
255/0/0",면,,"R/G/B
255/0/0",,
278,,,배수갑문,C0062242,선,,"R/G/B
165/82/0",,,,,,,,
279,,,보,C0062243,선,,"R/G/B
255/0/0",선/면,,"R/G/B
255/0/0",선/면,,"R/G/B
255/0/0",,
280,,암거,암거(미분류),C0070000,,,,,,,,,,선,
281,,,(배수시설)미분류,C0076110,선,,,,,,,,,,
282,,,암거,C0076116,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
283,,,측구,C0076117,선,,"R/G/B
0/0/0",,,,,,,,
284,,잔교,잔교(미분류),C0080000,,,,,,,,,,선,
285,,,잔교(미분류),C0082250,"면,선",,,,,,,,,,
286,,,잔교(콘크리트),C0082251,"면,선",,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
287,,,잔교(목재),C0082252,"면,선",,"R/G/B
0/0/0",,,,,,,,
288,,,잔교(떠있는것),C0082253,면,,,,,,,,,,
289,,우물/약수터,우물/약수터(미분류),C0090000,,,,,,,,,,점,
290,,,지하수(미분류),C0096310,점,,,점,,,점,,,,
291,,,우물,C0096311,점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",,
292,,관정,관정,C0106312,점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,
293,,분수,분수,C0116313,점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,
294,,온천,온천,C0125335,점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,
295,,양식장,양식장(미분류),C0130000,,,,,,,,,,점,
296,,,양어장,C0132327,점,,"R/G/B
0/0/255",,,,,,,,
297,,,양식장기호,C0136357,점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",,
298,,,양식장경계,C0136358,면,,"R/G/B
0/0/255",면,,"R/G/B
0/0/255",면,,"R/G/B
0/0/255",,
299,,낚시터,낚시터,C0142263,점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,
300,,해수욕장,해수욕장기호,C0152261,점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",점,
301,,등대,등대(미분류),C0160000,,,,,,,,,,점,
302,,,등대(유간수),C0166233,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
303,,,등대(무간수),C0166234,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
304,,,항공등대,C0166235,점,,,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
305,,저장조,저장조(미분류),C0170000,,,,,,,,,,면,
306,,,(저장시설)미분류,C0176320,점,,,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
307,,,저수조,C0176321,점,,,,,,,,,,
308,,,저유조,C0176322,점,,,,,,,,,,
309,,,기타저장조,C0176323,점,,,,,,,,,,
310,,탱크,탱크,C0186115,선,,"R/G/B
0/0/0",,,,,,,면,
311,,광산,광산(미분류),C0190000,,,,,,,,,,점,
312,,,(광산)미분류,C0195330,점,,,,,,,,,,
313,,,광산,C0195334,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
314,,적치장,적치장(미분류),C0200000,,,,,,,,,,점,
315,,,적치장,C0200120,,,,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
316,,,(매립 기타)미분류,C0205340,점,,,,,,,,,,
317,,,공지,C0205341,점,,,점,,"R/G/B
165/82/0",점,,"R/G/B
165/82/0",,
318,,,적치장,C0205342,점,,,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
319,,,토사매립지,C0205343,점,,,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
320,,,폐기물매립지,C0205344,점,,,,,,,,,,
321,,,쓰레기매립지,C0205345,면,,,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
322,,채취장,채취장(미분류),C0210000,,,,,,,,,,점,
323,,,채취장,C0210140,,,,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
324,,,채석장,C0215331,점,,"R/G/B
0/0/0",,,,,,,,
325,,,토취장,C0215332,점,,"R/G/B
0/0/0",,,,,,,,
326,,,골재채취장,C0215333,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
327,,조명,조명(미분류),C0220000,,,,,,,,,,점,
328,,,보조지지주,C0220205,,,,,,,점,,"R/G/B
0/0/0",,
329,,,가로등,C0223367,점,,"R/G/B
0/0/0",,,,점,,"R/G/B
0/0/0",,
330,,,(조명)미분류,C0226230,점,,,,,,,,,,
331,,,조명등,C0226231,점,,,,,,,,,,
332,,,방범등,C0226232,점,,,,,,점,,"R/G/B
0/0/0",,
333,,전력주/통신주,전력주/통신주(미분류),C0230000,,,,,,,,,,점,
334,,,(전주)미분류,C0236240,점,,,,,,,,,,
335,,,전화주,C0236241,점,,,,,,점,,"R/G/B
0/0/0",,
336,,,전력주,C0236242,점,,,,,,점,,"R/G/B
0/0/0",,
337,,,유선주,C0236243,점,,,,,,,,,,
338,,,공동주,C0236244,점,,,,,,점,,"R/G/B
0/0/0",,
339,,맨홀,맨홀(미분류),C0240000,,,,,,,,,,점,
340,,,지역난방맨홀,C0240016,,,,,,,점,,"R/G/B
255/0/0",,
341,,,송유맨홀,C0240017,,,,,,,점,,"R/G/B
255/0/0",,
342,,,(수송관-지상)미분류,C0246120,선,,,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
343,,,(수송관-지상)상수도,C0246121,선,,,선,,"R/G/B
0/0/255",선,,"R/G/B
0/0/255",,
344,,,(수송관-지상)하수도,C0246122,선,,,,,,,,,,
345,,,(수송관-지상)송유관,C0246123,선,,,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
346,,,(수송관-지상)가스관,C0246124,선,,,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
347,,,(수송관-지상)송전선,C0246125,선,,,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",,
348,,,(수송관-지상)통신선,C0246126,선,,,,,,,,,,
349,,,(수송관-지하)미분류,C0246130,선,,,,,,,,,,
350,,,(수송관-지하)상수도,C0246131,선,,,,,,,,,,
351,,,(수송관-지하)하수도,C0246132,선,,,,,,,,,,
352,,,(수송관-지하)송유관,C0246133,선,,,,,,,,,,
353,,,(수송관-지하)가스관,C0246134,선,,,,,,,,,,
354,,,(수송관-지하)송전선,C0246135,선,,,,,,,,,,
355,,,(수송관-지하)통신선,C0246136,선,,,,,,,,,,
356,,,(맨홀)미분류,C0246340,점,,,,,,점,,"R/G/B
0/0/0",,
357,,,(맨홀)공동구 ,C0246341,점,,,,,,점,,"R/G/B
0/0/0",,
358,,,(맨홀)가스관,C0246342,점,,,,,,점,,"R/G/B
255/0/0",,
359,,,(맨홀)전화,C0246343,점,,,,,,점,,"R/G/B
0/255/0",,
360,,,(맨홀)전기,C0246344,점,,,,,,점,,"R/G/B
255/0/0",,
361,,,(맨홀)하수,C0246345,점,,,,,,점,,"R/G/B
0/0/255",,
362,,,(맨홀)상수,C0246346,점,,,,,,점,,"R/G/B
0/0/255",,
363,,,(맨홀)통신선,C0246347,점,,,,,,점,,"R/G/B
0/255/0",,
364,,소화전,소화전(미분류),C0250000,,,,,,,,,,점,
365,,,소화전,C0256324,점,,,,,,점,,"R/G/B
255/0/0",,
366,,,소화전(입상),C0256325,점,,,,,,,,,,
367,,관측소,관측소(미분류),C0260000,,,,,,,,,,점,
368,,,(관측소)미분류,C0266330,점,,,점,,청,점,,청,,
369,,,수위관측소,C0266331,점,,"R/G/B
0/0/255",,,,,,,,
370,,,유량관측소,C0266332,점,,"R/G/B
0/0/255",,,,,,,,
371,,,우량관측소,C0266333,점,,"R/G/B
0/0/255",,,,,,,,
372,,,수질관측소,C0266334,점,,"R/G/B
0/0/255",,,,,,,,
373,,,파랑관측소,C0266335,점,,"R/G/B
255/0/0",,,,,,,,
374,,,"풍향,풍속관측소",C0266336,점,,,,,,,,,,
375,,,대기오염관측소,C0266337,점,,,,,,,,,,
376,,야영지,야영지,C0270000,,,,,,,,,,면,
377,,묘지,묘지,C0285311,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,
378,,묘지계,묘지계(미분류),C0290000,,,,,,,,,,면,
379,,,묘지계,C0295113,점,,"R/G/B
0/0/0",,,,,,,,
380,,,공동묘지,C0295312,점,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
381,,,능묘,C0295313,점,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
382,,유적지,유적지,C0305316,점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",점,
383,,문화재,문화재(미분류),C0310000,,,,,,,,,,점,
384,,,(문화)미분류,C0315310,점,,,,,,,,,,
385,,,명승고적,C0315314,점,,"R/G/B
0/0/0",,,,,,,,
386,,성,성,C0325315,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,
387,,비석/기념비,비석/기념비(미분류),C0330000,,,,,,,,,,점,
388,,,(목표물기호1)미분류,C0336210,점,,,,,,,,,,
389,,,기념비,C0336211,점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",,
390,,,묘비,C0336212,점,,,점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",,
391,,탑,탑(미분류),C0340000,,,,,,,,,,점,
392,,,조명탑,C0340032,,,,면,,"R/G/B
255/0/0",면,,"R/G/B
255/0/0",,
393,,,시계탑,C0340325,,,,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
394,,,(탑)미분류,C0346220,점,,,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
395,,,소방탑,C0346221,점,,"R/G/B
0/0/255",,,,,,,,
396,,,저수탑,C0346222,점,,"R/G/B
0/0/255",면,,"R/G/B
0/0/255",면,,"R/G/B
0/0/255",,
397,,,취수탑,C0346223,점,,"R/G/B
0/0/255",면,,"R/G/B
0/0/255",면,,"R/G/B
0/0/255",,
398,,,전파탑,C0346224,점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",,
399,,,송전탑,C0346225,면,,"R/G/B
255/0/0",면,,"R/G/B
255/0/0",면,,"R/G/B
255/0/0",,
400,,,급수탑,C0346226,면,,,면,,,면,,,,
401,,동상,동상(미분류),C0350000,,,,,,,,,,점,
402,,,동상,C0356213,점,,"R/G/B
255/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
403,,,석등,C0356214,점,,,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
404,,공중전화,공중전화,C0363361,점,,,,,,점,,"R/G/B
0/0/0",점,
405,,우체통,우체통,C0373362,점,,,,,,점,,"R/G/B
0/0/0",점,
406,,놀이시설,놀이시설(미분류),C0380000,,,,,,,,,,점,
407,,,놀이시설,C0380100,,,,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
408,,,수영장,C0380110,,,,면,,"R/G/B
0/0/255",면,,"R/G/B
0/0/255",,
409,,,"(레저,스포츠)미분류",C0382260,점,,,면,,,면,,,,
410,,,수영장기호,C0382262,점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",,
411,,,(체육시설)미분류,C0385320,면,,,,,,,,,,
412,,,골프장,C0385321,점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",,
413,,,테니스장,C0385322,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
414,,,운동장,C0385323,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
415,,,어린이놀이터,C0385324,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
416,,,스키장,C0385325,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,심볼변경
417,,,야외수영장,C0386356,점,,"R/G/B
0/0/255",,,,,,,,
418,,계단,계단(미분류),C0390000,,,,,,,,,,면,
419,,,스텐드,C0390130,,,,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
420,,,계단,C0393323,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
421,,게시판,게시판(미분류),C0403360,,,,,,,,,,점,
422,,,게시판,C0403366,점,,,,,,점,,"R/G/B
0/0/0",,
423,,,광고판,C0403426,점,,,,,,점,,"R/G/B
0/0/0",,
424,,표지,표지(미분류),C0410000,,,,,,,,,,점,
425,,,이정표,C0412258,점,,,,,,,,,,
426,,,(표지)미분류,C0413420,점,,,,,,,,,,
427,,,도로정보판,C0413421,점,,,,,,,,,,
428,,,안내표지,C0413422,점,,,,,,점,,"R/G/B
0/0/0",,
429,,,지시표지,C0413423,점,,,,,,점,,"R/G/B
0/0/0",,
430,,,규제표지,C0413424,점,,,,,,점,,"R/G/B
255/0/0",,
431,,,주의표지,C0413425,점,,,,,,점,,"R/G/B
255/0/0",,
432,,주유소,주유소,C0423365,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,
433,,주차장,주차장(미분류),C0430000,,,,,,,,,,면,
434,,,주차장경계,C0430230,,,,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
435,,,주차장,C0433364,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
436,,휴게소,휴게소,C0443363,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,
437,,지하도,지하도,C0453322,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,
438,,지하도입구,지하도입구,C0463374,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",선,
439,,지하환기구,지하환기구(미분류),C0471220,,,,,,,,,,면,
440,,,지하철 환기통,C0471223,면,,"R/G/B
0/0/0",,,,,,,,
441,,,지하환기구,C0476355,면,,,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
442,,굴뚝,굴뚝,C0486353,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,
443,,신호등,신호등,C0493376,점,,,,,,점,,"R/G/B
0/0/0",점,
444,,차단기,차단기(미분류),C0500000,,,,,,,,,,점,
445,,,건널목차단기,C0503375,,,,,,,점,,"R/G/B
0/0/0",,
446,,,가로등제어기,C0503377,,,,,,,점,,"R/G/B
0/0/0",,
447,,,신호등제어기,C0503378,,,,,,,점,,"R/G/B
0/255/0",,
448,,,전기제어기,C0503379,,,,,,,점,,"R/G/B
255/0/0",,
449,,도로반사경,도로반사경,C0513369,점,,,,,,점,,"R/G/B
255/0/0",점,
450,,도로분리대,도로분리대(미분류),C0520000,,,,,,,,,,면,
451,,,(도로분리대)미분류,C0523120,선,,,,,,,,,,
452,,,도로분리대,C0523121,선,,"R/G/B
255/0/0",면,,"R/G/B
255/0/0",면,,"R/G/B
255/0/0",,
453,,방지책,방지책(미분류),C0530000,,,,,,,,,,선,
454,,,(구조물)미분류,C0536110,선,,,선,,,선,,,,
455,,,낙서방지책,C0536111,선,,,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
456,,,방호벽,C0536112,선,,,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
457,,,차광책,C0536113,선,,,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
458,,,소음방지책,C0536114,선,,,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
459,,,기타콘크리트구조물,C0536117,선,,"R/G/B
0/0/0",면/선,,"R/G/B
0/0/0",면/선,,"R/G/B
0/0/0",,
460,,,가드레일,C0536118,선,,,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
461,,,가드펜스,C0536119,선,,,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
462,,요금징수소,요금징수소,C0540000,,,,,,,,,,점,
463,,헬기장,헬기장,C0556354,점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",점,,"R/G/B
255/0/0",점,
464,식생,경지계,경지계(미분류),D0010000,,,,,,,,,,면,
465,,,경지계,D0015112,선,,"R/G/B
0/255/0",면,,"R/G/B
0/255/0",면,,"R/G/B
0/255/0",,
466,,,(경작지)미분류,D0015210,점,,,,,,,,,,
467,,,논,D0015211,점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",,심볼변경
468,,,밭,D0015212,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
469,,,과수원,D0015213,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
470,,,(조경)미분류,D0015220,점,,,면/선,,,면/선,,,,
471,,,잔디 ,D0015221,점,,,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
472,,,화단,D0015222,점,,,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
473,,,정원수,D0015223,점,,,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
474,,지류계,지류계(미분류),D0020000,,,,,,,,,,면,
475,,,"화단,가로수 보호대",D0023371,선,,,,,,,,,,
476,,,가로수,D0023372,점,,"R/G/B
0/255/0",,,,점,,"R/G/B
0/255/0",,
477,,,(지류경계)미분류,D0025110,선,,,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
478,,,지류계,D0025111,선,,"R/G/B
0/255/0",,,,,,,,
479,,,산림계,D0025114,점,,,,,,,,,,
480,,,기타경계,D0025115,점,,"R/G/B
0/0/0",,,,,,,,
481,,,황무지,D0025215,점,,"R/G/B
165/82/0",점,,"R/G/B
165/82/0",점,,"R/G/B
165/82/0",,
482,,,조림지,D0025216,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
483,,,(산림)미분류,D0025230,점,,,면,,"R/G/B
0/255/0",면,,"R/G/B
0/255/0",,
484,,,활엽수 ,D0025231,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
485,,,침엽수,D0025232,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
486,,,혼합림,D0025233,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
487,,,대나무숲,D0025234,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
488,,독립수,독립수(미분류),D0030000,,,,,,,,,,점,
489,,,독립수(활엽수),D0036351,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
490,,,독립수(침엽수),D0036352,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
491,,목장,목장(미분류),D0040000,,,,,,,,,,면,
492,,,목장및방목경계,D0040001,,,,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
493,,,목초지,D0045214,점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",점,,"R/G/B
0/255/0",,
494,수계,하천경계,하천경계,E0010001,,,,선,,,선,,,면,
495,,하천중심선,하천중심선(미분류),E0020000,,,,,,,,,,선,
496,,,(하천)미분류,E0022110,선,,,선,,,선,,,,
497,,,하천중심선,E0022115,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
498,,,세류,E0022112,선,,"R/G/B
0/0/255",선,,"R/G/B
0/0/255",선,,"R/G/B
0/0/255",,
499,,,건천,E0022113,선,,"R/G/B
0/0/255",선,,"R/G/B
0/0/255",선,,"R/G/B
0/0/255",,
500,,실폭하천,실폭하천,E0032111,선,,"R/G/B
0/0/255",,,,,,,면,
501,,유수방향,유수방향,E0042326,점,,"R/G/B
0/0/255",,,,,,,점,
502,,호수/저수지,"호수, 저수지",E0052114,면,,"R/G/B
0/0/255",면,,"R/G/B
0/0/255",면,,"R/G/B
0/0/255",면,
503,,용수로,용수로(미분류),E0060000,,,,,,,,,,선,
504,,,(용수로)미분류,E0062270,선,,,,,,,,,,
505,,,공업용수로(지상),E0062271,선,,"R/G/B
0/0/255",선,,"R/G/B
0/0/255",선,,"R/G/B
0/0/255",,
506,,,공업용수로(지하),E0062272,선,,"R/G/B
0/0/255",,,,,,,,
507,,,농업용수로(지상),E0062273,선,,"R/G/B
0/0/255",,,,,,,,
508,,,농업용수로(지하),E0062274,선,,"R/G/B
0/0/255",,,,,,,,
509,,,도수터널,E0062275,선,,"R/G/B
0/0/255",,,,,,,,
510,,폭포,폭포,E0072325,점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,,"R/G/B
0/0/255",점,
511,,해안선,해안선(미분류),E0080000,,,,,,,,,,선,
512,,,(바다)미분류,E0082120,선,,,,,,,,,,
513,,,해안선(육지),E0082121,선,,"R/G/B
0/0/255",선,,"R/G/B
0/0/255",선,,"R/G/B
0/0/255",,
514,,,해안선(섬),E0082122,면,,"R/G/B
0/0/255",선,,"R/G/B
0/0/255",선,,"R/G/B
0/0/255",,
515,,등심선,등심선,E0082123,선,,"R/G/B
0/255/255",,,,,,,선,신설
516,,,등심선 수치,E0082124,점,,"R/G/B
0/255/255",,,,,,,,신설
517,지형,등고선,등고선(미분류),F0010000,,,,,,,,,,선,
518,,,(볼록지)미분류,F0017110,선,,,,,,,,,,
519,,,(볼록지)주곡선,F0017111,선,,"R/G/B
255/127/0",선,,"R/G/B
255/127/0",선,,"R/G/B
255/127/0",,
520,,,(볼록지)간곡선,F0017112,선,,"R/G/B
255/127/0",선,,"R/G/B
255/127/0",선,,"R/G/B
255/127/0",,
521,,,(볼록지)조곡선,F0017113,선,,"R/G/B
255/127/0",선,,"R/G/B
255/127/0",선,,"R/G/B
255/127/0",,
522,,,(볼록지)계곡선,F0017114,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
523,,,(오목지)미분류,F0017120,선,,,,,,,,,,
524,,,(오목지)주곡선,F0017121,선,,"R/G/B
255/127/0",,,,,,,,
525,,,(오목지)간곡선,F0017122,선,,"R/G/B
255/127/0",,,,,,,,
526,,,(오목지)조곡선,F0017123,선,,"R/G/B
255/127/0",,,,,,,,
527,,,(오목지)계곡선,F0017124,선,,"R/G/B
0/0/0",,,,,,,,
528,,,(수치)미분류,F0017130,문자,,,,,,,,,,
529,,,등고수치,F0017131,문자,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
530,,표고점,표고점(미분류),F0020000,,,,,,,,,,점,
531,,,표고점수치,F0027132,문자,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
532,,,표고점,F0027217,점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",점,,"R/G/B
0/0/0",,
533,,성/절토,성/절토(미분류),F0030000,,,,,,,,,,선,
534,,,(인공)미분류,F0037220,선,,,,,,,,,,
535,,,성토(상단),F0037221,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
536,,,절토(상단),F0037222,선,,"R/G/B
0/0/0",,,,,,,,
537,,,성토(하단),F0037223,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
538,,옹벽,옹벽(미분류),F0040000,,,,,,,,,,선,
