수치지도 지형지물 표준코드(안),,,,,,,,,,,,,,,
No,대분류,중분류,소분류(지형지물명),통합코드,수치지도 1.0,,,,,,,,,수치지도 2.0,비고
,,,,,"1:5,000",,,"1:2,500",,,"1:1,000",,,,
,,,,,구조,표현,색상,구조,표현,색상,구조,표현,색상,구조,
59,,육교,육교,A0063321,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,
60,,교량,교량(미분류),A0070000,,,,,,,,,,면,
61,,,(다리)미분류,A0073340,면,,"R/G/B
0/0/0",,,,,,,,
62,,,(다리)콘크리트교,A0073341,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
63,,,(다리)강교,A0073342,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
64,,,(다리)목교,A0073343,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
65,,,(철교)미분류,A0071210,면,,"R/G/B
0/0/0",,,,,,,,
66,,,철교,A0071211,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
67,,,(철교)고가부,A0071212,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
68,,,철도터널,A0071213,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
69,,교차로,교차로,A0080000,,,,,,,,,,면,
70,,입체교차부,입체교차부(미분류),A0090000,,,,,,,,,,면,
71,,,(입체교차부)미분류,A0093350,선,,,,,,,,,,
72,,,(입체교차부)고가차도,A0093351,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
73,,,(입체교차부)지하차도,A0093352,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
74,,인터체인지,인터체인지,A0100000,,,,,,,,,,면,
75,,터널,터널,A0110020,,,,선,,"R/G/B
255/0/0",선,,"R/G/B
255/0/0",면,
76,,터널입구,터널입구,A0123373,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,
77,,정거장,정거장,A0131122,면,,"R/G/B
0/0/0",,,,,,,점,
78,,정류장,정류장(미분류),A0140000,,,,,,,,,,점,
79,,,(정류장)미분류,A0143410,점,,"R/G/B
0/0/0",,,,,,,,
80,,,(정류장)버스정류장,A0143411,점,,"R/G/B
0/0/0",점,,,점,,"R/G/B
0/0/0",,
81,,,(정류장)택시정류장,A0143412,점,,"R/G/B
0/0/0",점,,,점,,"R/G/B
255/0/0",,
82,,철도,철도(미분류),A0150000,,,,,,,,,,선,
83,,,(실폭선로)미분류,A0151110,선,,,,,,,,,,
84,,,(실폭선로)보통 철도,A0151111,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
85,,,(실폭선로)특수 철도,A0151112,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
86,,,(실폭선로)터널안 철도,A0151113,선,,"R/G/B
0/0/0",,,,,,,,
87,,,(실폭선로)건설중 철도,A0151114,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
88,,,지하철(지하부),A0151115,선,,"R/G/B
0/0/0",,,,,,,,
89,,,지하철(지상부),A0151116,선,,"R/G/B
0/0/0",,,,,,,,
90,,,삭도,A0151117,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",,
91,,,고가부(도로시설),A0151118,선,,"R/G/B
0/0/0",,,,,,,,
92,,,(도면제작용선로)미분류,A0151120,선,,,,,,,,,,
93,,,복선철도,A0151121,선,,,,,,,,,,
94,,,궤도(모노레일),A0151123,선,,,선,,,선,,,,
95,,,지하철역 출입구,A0151224,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
96,,,"(편의시설,기타)미분류",A0151220,면,,"R/G/B
0/0/0",선,,,선,,,,
97,,철도경계,철도부지선,A0160024,,,,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",면,
98,,철도중심선,철도중심선,A0171119,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,
99,,철도전차대,철도전차대,A0180000,,,,,,,,,,점,
100,,플랫폼,플랫폼,A0191221,선,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,
101,,플랫폼의 지붕,플랫폼의 지붕,A0201222,선,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,
102,,나루,나루(미분류),A0210000,,,,,,,,,,점,
103,,,나루(사람),A0212255,점,,"R/G/B
0/0/0",,,,,,,,
104,,,나루(차량),A0212256,점,,"R/G/B
0/0/0",,,,,,,,
105,,나루노선,나루노선,A0222257,선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,,"R/G/B
0/0/0",선,
106,건물,건물,건물경계(미분류),B0010000,,,,,,,,,,면,
107,,,(건물경계)미분류,B0014110,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
108,,,주택외건물,B0014111,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
109,,,주택 ,B0014112,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
110,,,연립주택,B0014113,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
111,,,공사중건물,B0014114,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
112,,,아파트,B0014115,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
113,,,무벽건물,B0014116,면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",면,,"R/G/B
0/0/0",,
